participant.code;participant.label;payoff_beneficiary;id_group_beneficiary;payoff_dg;role_dg;send_proxy;group_sent;exclusion;inclusion;own_team;other_team;fair;fair_benef;fair_benef_own;fair_benef_other;rejected;happy;well_being;easy;comments;age;gender;edu;condition
9lysuc4z;60dbe1ade399352be04a652d;10;2;10;1;;0;2;2;;;5;5;;;5;5;5;4;;48;Female;Professional degree;control
epz9qpw2;61001400237f51c3662bd5b4;14;3;0;2;5;0;3;3;;;1;2;;;3;5;5;3;;26;Female;Professional degree;control
yyyq9rfa;5d0ed8b577178a00019f74b3;10;2;5;1;;5;1;4;;;5;5;;;5;6;6;4;;29;Female;Some College;control
d7xnp6t5;611884342da45986deaa204f;10;2;6;1;;4;3;3;;;4;4;;;4;5;5;4;;20;Female;High school graduate;control
u2dd80fq;60fdec362993efac7a618dfd;10;2;4;2;4;4;3;4;;;4;3;;;3;8;6;5;;18;Female;High school graduate;control
mezy12y5;5dd8da70fef7c2880a12500d;6;3;10;1;;0;2;4;;;2;2;;;3;5;5;4;none;34;Male;4 Years Degree;control
fmuz0364;5f21d6bc44cf1215fed5e534;6;3;0;2;6;0;2;3;;;3;2;;;2;5;5;4;;23;Female;4 Years Degree;control
7i1od4t4;60fda965a6b7be7629d0be00;10;4;5;2;5;5;2;4;;;5;3;;;5;8;8;5;;18;Female;Some College;control
melllt1p;614df85d8603811e25e84d17;10;4;5;1;;5;2;3;;;4;5;;;4;6;7;3;;54;Female;Some College;control
23djgpyb;5df5b73cd52c7b4021e0d0b6;10;5;5;1;;5;2;4;;;5;4;;;4;9;5;4;No;39;Female;4 Years Degree;control
syc2p64f;5ec37264194de71cb7b82637;10;5;6;1;;4;2;4;;;4;3;;;3;6;6;3;;20;Female;High school graduate;control
f7wqi71j;60ceac2e9edfbb89436f4867;14;3;5;2;5;5;2;4;;;1;1;;;4;8;6;5;Interesting study;20;Female;4 Years Degree;control
xizqn3yh;6151d7e5e542dc73b5eaf5db;10;4;5;1;;5;4;2;;;5;3;;;4;8;6;4;;25;Female;4 Years Degree;control
a73utlnu;60ff82acec6d7fc4c4a08769;10;4;5;2;5;5;2;4;;;4;4;;;3;3;5;5;no;21;Female;High school graduate;control
rt8f0vwk;60fe2062f9a27921e0cf4211;10;5;5;2;4;5;5;1;;;4;4;;;4;8;9;4;;21;Female;High school graduate;control
qxuiafjt;60fdbda119f6fbee6e8116a6;12;6;5;1;;5;1;4;;;4;4;;;4;7;7;3;;21;Female;4 Years Degree;control
8ulgl0uw;60fdd47cb6da7411e888e23c;8;6;5;2;1;5;1;1;;;3;1;;;2;2;5;3;;23;Female;4 Years Degree;control
n0y8c438;5d9bdc6ff7bd5b001547ec77;10;6;5;1;;5;3;4;;;2;2;;;4;5;3;5;NA;25;Female;4 Years Degree;control
5esw5c85;60fccf14ec98489192e54358;10;7;6;1;;4;3;4;;;2;2;;;4;4;4;4;;19;Female;Some College;control
wxuk38yg;5b2914d57f78160001466c01;10;8;5;2;5;5;2;4;;;4;4;;;4;6;5;4;;23;Male;4 Years Degree;control
hhie4d2n;614f7e1c941fd499dd553fd1;12;7;5;1;;5;2;4;;;3;3;;;5;3;5;5;;47;Male;Some College;control
agkskiev;5c994ca30225a000167bd288;10;8;4;2;4;4;1;4;;;5;4;;;4;6;5;4;;22;Other;4 Years Degree;control
iokliuq0;60c8f631c054dc9a3315855e;6;9;5;2;5;5;3;3;;;4;4;;;4;4;4;5;I think it was actually an intriguing study, and I would like to know what the findings are.;23;Male;4 Years Degree;control
w7qzdzrc;5e16bce18dffa0c6f76cda9b;8;7;9;1;;1;2;4;;;2;2;;;3;7;4;3;;31;Female;4 Years Degree;control
ky25tq54;6117c7ca13e573569166d127;10;8;5;1;;5;4;4;;;5;3;;;2;8;7;5;;19;Female;Some College;control
8c2hd8vp;5d6420263e95f50001053ce4;6;9;1;2;5;1;1;5;;;4;5;;;4;8;8;5;;32;Female;4 Years Degree;control
bhpvbdso;610351a3f6c1b632de5d0040;10;8;5;2;5;5;2;4;;;4;3;;;4;5;6;5;;27;Female;4 Years Degree;control
i47gbl7g;60a2fae17fe95f27ca52e424;10;10;7;1;;3;1;5;;;5;5;;;5;10;5;3;;20;Female;Some College;control
ypvd7rfb;60f739a02be80f8a9108ae3d;10;10;6;1;;4;4;3;;;2;2;;;2;4;3;4;;20;Female;Less than high school;control
ico5xmz8;5f7d22898f1f7e1fa9dda650;10;10;5;1;;5;2;4;;;4;4;;;4;3;3;4;;23;Female;Some College;control
9hirz5nn;5d8a9a4e3ff02d00016fafca;14;9;4;2;5;4;3;3;;;3;3;;;4;6;5;3;;33;Female;Professional degree;control
wiji112g;615cf2d3e9dfb81e7ef3668d;8;11;5;1;;5;2;4;;;3;4;;;3;7;8;4;;22;Female;4 Years Degree;control
p8uuggma;60fd99351090788eaebbda7b;10;12;5;2;5;5;1;5;;;5;5;;;5;8;5;5;No;28;Female;Doctorate;control
ab0iqp0s;606efc02131bf097def132a2;10;10;8;1;;2;5;1;;;4;3;;;4;7;5;3;;27;Female;4 Years Degree;control
24q885p6;5f39a97fb9eddd145dff233e;10;12;6;1;;4;2;3;;;4;4;;;3;4;5;4;The time limit was a little nerve-wracking.;26;Male;Professional degree;control
acrmfao8;611f4f5b19a39508269149c5;12;11;6;1;;4;3;2;;;1;2;;;3;8;5;4;;18;Other;Some College;control
1g8lm84h;5ee9b7270e94f636a8e81ee4;8;11;4;2;5;4;2;4;;;4;4;;;3;4;4;4;;19;Male;Some College;control
6pndzv7k;61089eb2f125d1eedafeae42;12;11;3;2;3;3;3;3;;;5;5;;;4;7;5;5;;19;Female;High school graduate;control
qizyrx00;6025b3681ff1521a3369dffe;10;13;5;1;;5;1;5;;;5;5;;;5;10;5;5;no;20;Female;Some College;control
9kz5zb56;60185baa7d10160c486bc4bc;8;14;6;1;;4;4;3;;;3;3;;;2;4;3;4;;23;Female;4 Years Degree;control
nntmbm4a;60fedfc700906f110c81310e;10;13;10;1;;0;2;4;;;3;3;;;2;5;2;4;;23;Female;Professional degree;control
p1d1mawj;6107272874f58769a86a21b9;10;13;5;1;;5;1;5;;;5;5;;;5;9;5;5;NO;50;Female;High school graduate;control
u6onetpa;5da7aeeaf1f30c001892ffc9;10;13;4;2;5;4;2;4;;;4;4;;;4;8;7;3;;30;Male;4 Years Degree;control
yoqhaowc;5fc50c78a62b160ac5f58e2e;2;15;2;2;5;2;3;3;;;3;3;;;4;7;5;3;no;29;Male;Some College;control
w4p9oxdq;5f6a24cc0d27e008cb1b8488;10;14;5;2;5;5;5;1;;;3;3;;;4;5;7;4;;27;Male;2 Years Degree;control
vr2wu4ak;60abe580aa82f25a7acc9800;18;15;5;2;5;5;1;5;;;1;1;;;4;10;8;3;none;34;Female;2 Years Degree;control
4qzz5opi;606ea77c23c62ce664b759f1;12;14;4;2;5;4;3;3;;;4;3;;;3;5;5;3;None;29;Female;Some College;control
jjgoelsd;5e93f4e38099ec730377b072;10;14;5;1;;5;3;3;;;3;3;;;3;7;6;1;na;31;Male;Professional degree;control
vhyxeouy;5ba7a90d168e5e0001e47228;2;15;5;2;5;5;4;2;;;1;1;;;1;6;7;4;;20;Male;Some College;control
y04kk1i9;5f13c80de764c617c6b83856;20;16;8;1;;2;2;4;;;2;3;;;3;6;5;4;;21;Female;2 Years Degree;control
dn9g8561;60b7febe7ed0e65ddeed0dde;18;15;5;1;;5;1;5;;;2;2;;;5;3;2;5;;21;Female;Some College;control
o5g83z4h;610168bb050449e6d6d4bfbe;0;16;2;2;4;2;5;2;;;1;1;;;1;0;0;3;;22;Female;2 Years Degree;control
9wks802s;61003e522bc23b7b3f65a8c0;12;18;8;1;;2;4;3;;;4;4;;;2;9;8;5;Nope.;18;Male;High school graduate;control
5lodgxve;616376b5ff2429e422b69961;10;19;0;2;5;0;2;3;;;4;4;;;3;5;6;3;;26;Female;4 Years Degree;control
jiqlx9z2;5aad226f811b2000016f6be2;10;18;5;2;5;5;3;3;;;3;4;;;5;5;5;4;No;42;Male;Some College;control
o9u77r5x;5d7bb9a6cf0ed10017ec4de4;0;16;2;2;5;2;5;1;;;1;2;;;1;5;4;5;Stage 1 required me to tab/click on the input box each time, which was annoying.;28;Male;2 Years Degree;control
xenj5ph4;5eac911e8fdf2d3021221f6a;10;17;5;1;;5;2;4;;;3;4;;;4;6;7;4;;21;Male;Some College;control
dm69x4rr;60e876e5d3a43d48cabc5bbf;10;17;5;1;;5;1;4;;;5;4;;;4;9;5;5;;22;Male;4 Years Degree;control
f1oc3yvg;617232a11d494debdf0fd605;10;17;5;2;0;5;2;4;;;5;5;;;4;9;9;4;No;63;Male;Less than high school;control
xu82j2wi;60ff0a524ac69866d65d2c3d;10;18;5;1;;5;4;2;;;2;2;;;3;7;5;4;;21;Female;Some College;control
5cvtkvvu;612cee0c062a190674f1307f;8;18;6;1;;4;2;4;;;3;3;;;4;7;5;4;;22;Female;4 Years Degree;control
395rw8i6;61242a20817c1d12dfe8ab12;10;17;5;2;10;5;3;2;;;4;4;;;5;5;5;4;;33;Male;Some College;control
5mzktntr;5fecc1aaadaa09e9d38a3cb0;10;19;5;1;;5;2;4;;;4;4;;;3;7;5;3;;41;Female;Professional degree;control
sgctwzqv;614a88504af7e43f14e8dd35;10;20;5;1;;5;3;3;;;3;3;;;2;0;5;5;NO;21;Female;Some College;control
4695p78d;5dc1e42d031ed614e11366ee;8;19;5;1;;5;4;4;;;4;4;;;3;8;7;4;;39;Female;4 Years Degree;control
