participant.code;participant.label;payoff_beneficiary;id_group_beneficiary;payoff_dg;role_dg;send_proxy;group_sent;exclusion;inclusion;own_team;other_team;fair;fair_benef;fair_benef_own;fair_benef_other;rejected;happy;well_being;easy;comments;age;gender;edu;condition
1psi9n3s;60b8049314bc2fd7944c3a1b;10;2;5;1;;5;1;5;;;5;5;5;5;5;10;9;4;;56;Male;Professional degree;treatment
q3vvrggo;6111491847bcab75f89ef75c;14;3;5;1;;5;1;5;;;2;2;1;3;5;7;6;5;No, nothing! Just curious as to what was the actual purpose of this study was?;24;Male;Some College;treatment
00pvomse;611d9d95f7722748ca4b6a12;10;2;5;1;;5;1;5;;;5;4;4;4;4;5;5;5;;33;Female;4 Years Degree;treatment
k4ijpaz2;60fe0ff2978d9def5d345ecd;9;2;5;1;;5;1;5;;;4;4;4;4;4;8;8;3;;39;Female;High school graduate;treatment
wqiotvd0;61132db9c12a1580079b5260;10;2;5;2;5;5;1;5;;;5;5;5;5;5;7;6;4;;23;Female;4 Years Degree;treatment
qsnw5xbp;5ac68ddbe734400001da4729;6;3;5;2;2;5;4;1;;;1;1;1;1;2;0;1;3;;27;I do not want to report my gender;Some College;treatment
4f2j4znn;60958a92d8da9c1db8f7f7f2;6;3;5;2;4;5;4;2;;;4;4;3;2;3;6;5;2;no;22;Female;Some College;treatment
a6tv4yc9;6100532c7908d47c93f60c5e;10;4;5;1;;5;2;4;;;4;3;4;4;5;6;5;4;no;21;Female;4 Years Degree;treatment
haot0ifr;61525251bee508899d9ef6ed;10;4;5;1;;5;1;5;;;4;4;4;4;5;10;5;5;NO;29;Female;Some College;treatment
garvooob;60de49ea4a749239dd499414;10;5;6;1;;4;2;4;;;4;4;4;4;5;8;5;5;;25;Female;4 Years Degree;treatment
m4zsf2pd;60c794dacf496762eb07b2bb;10;5;5;1;;5;2;4;;;5;2;2;2;4;2;3;3;;29;Female;Doctorate;treatment
4aj23ncq;5c5256bb6543bc0001849599;14;3;5;2;5;5;3;3;;;3;3;3;3;3;7;7;4;thank you;37;Female;4 Years Degree;treatment
inqen719;61085d008b02ced63eef6d9c;10;4;5;2;5;5;1;5;;;4;4;4;4;5;6;5;5;if possible, make it so that when you complete one captcha, you don't have to click to start typing the next one!;25;Female;Some College;treatment
4h3hpeg8;60e04bcfbb3893c6fd11682c;10;4;5;2;5;5;2;4;;;4;4;3;4;5;5;5;4;;41;Male;Some College;treatment
b9d4abll;5e31e001db304d05e96019bd;10;5;4;2;5;4;2;3;;;4;3;3;3;4;7;4;3;;29;Female;Some College;treatment
ileuw6ou;600f37dd7222cf0f2cf43322;12;6;5;2;5;5;2;4;;;3;3;2;4;4;7;6;4;;23;Male;4 Years Degree;treatment
l51qqujh;5eddaf2915b6abab91efd322;8;6;2;1;;8;2;2;;;3;4;4;4;3;3;2;3;;28;Male;4 Years Degree;treatment
ffpzs2qx;60f5bcd053d1311b9fdb5b7a;10;6;8;2;4;8;3;3;;;2;2;4;2;3;5;5;3;;36;Male;Professional degree;treatment
q9nhowio;610392e34a7b8ed05fe9ba56;10;7;5;1;;5;4;2;;;4;2;2;4;3;4;5;5;;18;Female;High school graduate;treatment
q6k5ivue;60fde8704018ac4241e7985c;10;8;5;1;;5;2;4;;;5;4;2;4;4;7;5;3;n/a;26;Female;Some College;treatment
zcwtqm2i;601995b57baab30e7b4b8b90;12;7;5;1;;5;2;4;;;1;1;1;1;4;8;5;3;;35;Female;2 Years Degree;treatment
6jkw98kl;60f32446bc4e09f52b37a56d;10;8;5;1;;5;2;3;;;4;3;3;3;4;5;3;4;No;73;Male;Some College;treatment
03tv9rdu;5e86c11942701c2ffda5d113;6;9;10;1;;0;2;2;;;4;4;3;5;2;4;3;3;Player 3, if real, was a dope.;68;Male;Some College;treatment
9nb25k6z;5ea974ce007217052a763022;8;7;5;2;5;5;4;4;;;2;2;2;2;2;3;4;5;;35;Female;Doctorate;treatment
3hqkxifi;5d48c04720a7c0001aab9cab;10;8;0;2;5;0;5;2;;;4;4;4;4;2;3;4;5;NO, but player A you are mean;25;Male;4 Years Degree;treatment
ml4phu1y;5ec34daa8236521a70e0a4d7;13;9;7;1;;3;1;4;;;3;3;4;2;4;7;5;5;;28;Female;4 Years Degree;treatment
3jgps0qi;5f7a35fd77a52012998ad75f;6;9;5;1;;5;3;3;;;2;2;2;4;4;7;5;3;I saw a couple of typos or doubled words that could be corrected, but it was interesting.;60;Female;2 Years Degree;treatment
vgtm8qjs;61098602007b7931dc6e5f58;10;8;5;2;5;5;1;5;;;5;4;4;4;5;8;6;5;;22;Female;Some College;treatment
rubav2g9;6107953a411ead6525346cc8;10;10;3;2;5;3;1;5;;;5;4;4;4;4;8;8;4;;22;Other;Some College;treatment
6c6jjbbw;614e83b71239c5aaf5bda7ee;10;10;5;1;;5;3;4;;;3;4;4;4;4;6;5;4;;43;Male;Some College;treatment
5kkwezcq;61116eb1096e825c03297f74;10;10;5;2;0;5;4;4;;;5;4;4;4;3;6;5;4;;29;Female;4 Years Degree;treatment
5l1mxwdp;61087a04c0c4e0038641fff8;14;9;5;2;4;5;2;4;;;1;2;2;1;4;8;5;4;;21;Female;High school graduate;treatment
u22m6p5u;6108856627c8dc1e45894c37;8;11;8;1;;2;4;2;;;2;2;2;4;2;6;4;3;Sort of confusing!;27;Female;Professional degree;treatment
7xoh7euj;61096382c93978020d1d4ee6;10;12;5;1;;5;1;5;;;4;4;5;5;5;10;8;5;;23;Female;4 Years Degree;treatment
og1pei03;60fc11a1ce33b651530a7847;10;10;5;2;5;5;1;4;;;4;3;3;3;4;7;7;4;;19;Female;High school graduate;treatment
i42pjmba;6158ac4da2b57fc3afe8637c;10;12;5;1;;5;1;5;;;4;4;4;4;5;8;7;4;I'm happy everyone was fair.;24;Female;4 Years Degree;treatment
g8uzo2zx;5c3feb36de04ad0001d945ac;12;11;2;2;7;2;2;4;;;4;4;4;2;4;7;5;4;NO;36;Male;4 Years Degree;treatment
axv5mrde;607cd369232ae6802aae703f;10;12;5;2;5;5;1;5;;;4;5;5;5;5;8;5;5;;42;Female;Professional degree;treatment
jdr7mthr;611072022d4ba516aab619ac;8;11;5;2;2;5;4;2;;;1;2;2;4;2;5;4;4;;22;Female;Some College;treatment
z6i8k8sy;610818b0e42298de20bcf64c;11;11;5;1;;5;2;4;;;3;3;3;3;5;7;5;4;none at this time, thank you.;56;Female;Some College;treatment
ufixp64o;615e38d852ce12adb8887826;10;13;5;2;5;5;2;4;;;4;4;5;4;4;7;7;3;;26;Female;Doctorate;treatment
rjohb7bw;5eff87174a1b58060bb4f060;8;14;7;1;;3;2;3;;;4;4;3;4;3;8;5;4;This was a fun study;34;Male;4 Years Degree;treatment
nz1jaw36;612e5f7d08de9b9b26c7055e;10;13;5;2;5;5;1;5;;;5;5;5;5;5;7;7;3;;56;Male;Professional degree;treatment
9kupqdn3;56fc607d490b8200102f16fa;10;13;5;1;;5;1;5;;;5;5;5;5;4;9;5;5;;36;Female;Doctorate;treatment
2ji9w9nl;60ff140bb12e7cc7e6927299;10;13;5;2;5;5;1;5;;;1;4;4;4;5;10;5;5;;20;Female;Some College;treatment
