participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.payoff1,player.points,player.first_income,player.payoffin,player.send_proxy,player.easy,player.comments,player.age,player.gender,player.edu,group.id_in_subsession,group.sent,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,vweryeyw,,0,0,115,,,,0,,,0.0,6,,0.0,,,,,,,,,,,1,,1,07z21pup,,,,,1
2,u5kntm9z,,0,0,115,,,,0,,,0.0,4,,0.0,,,,,,,,,,,1,,1,07z21pup,,,,,1
3,gu7recjy,,0,0,115,,,,0,,,0.0,5,,0.0,,,,,,,,,,,1,,1,07z21pup,,,,,1
4,ij5omhv1,,0,0,115,,,,0,,,0.0,2,,0.0,,,,,,,,,,,1,,1,07z21pup,,,,,1
5,a7fm4e64,,0,0,115,,,,0,,,0.0,8,,0.0,,,,,,,,,,,1,,1,07z21pup,,,,,1
6,z6a8nbto,,0,0,115,,,,0,,,0.0,1,,0.0,,,,,,,,,,,1,,1,07z21pup,,,,,1
7,zz8egb8x,,0,0,115,,,,0,,,0.0,3,,0.0,,,,,,,,,,,1,,1,07z21pup,,,,,1
8,k0utn9jh,,0,106,115,exclusion_control,survey,2022-01-30 20:13:05.120365,1,,,0.0,7,,0.0,,,,,,,,,,,1,,1,07z21pup,,,,,1
1,9lysuc4z,60dbe1ade399352be04a652d,0,114,115,dictator,submission_prolific,2022-01-30 20:40:28.840714,1,,,0.0,1,,0.0,10,,,,,4,,48,Female,Professional degree,2,0,1,u1vjsq99,,,,,0
2,epz9qpw2,61001400237f51c3662bd5b4,0,114,115,dictator,submission_prolific,2022-01-30 20:40:39.892636,1,,,0.0,2,,0.0,0,,,,5,3,,26,Female,Professional degree,2,0,1,u1vjsq99,,,,,0
3,yyyq9rfa,5d0ed8b577178a00019f74b3,0,114,115,dictator,submission_prolific,2022-01-30 20:42:04.690406,1,,,0.0,1,,0.0,5,,,,,4,,29,Female,Some College,5,5,1,u1vjsq99,,,,,0
4,d7xnp6t5,611884342da45986deaa204f,0,114,115,dictator,submission_prolific,2022-01-30 20:42:18.059383,1,,,0.0,1,,0.0,6,,,,,4,,20,Female,High school graduate,3,4,1,u1vjsq99,,,,,0
5,u2dd80fq,60fdec362993efac7a618dfd,0,114,115,dictator,submission_prolific,2022-01-30 20:42:20.631104,1,,,0.0,2,,0.0,4,,,,4,5,,18,Female,High school graduate,3,4,1,u1vjsq99,,,,,0
6,mezy12y5,5dd8da70fef7c2880a12500d,0,114,115,dictator,submission_prolific,2022-01-30 20:42:30.130592,1,,,0.0,1,,0.0,10,,,,,4,none,34,Male,4 Years Degree,4,0,1,u1vjsq99,,,,,0
7,fmuz0364,5f21d6bc44cf1215fed5e534,0,114,115,dictator,submission_prolific,2022-01-30 20:42:58.116670,1,,,0.0,2,,0.0,0,,,,6,4,,23,Female,4 Years Degree,4,0,1,u1vjsq99,,,,,0
8,7i1od4t4,60fda965a6b7be7629d0be00,0,114,115,dictator,submission_prolific,2022-01-30 20:44:52.001016,1,,,0.0,2,,0.0,5,,,,5,5,,18,Female,Some College,5,5,1,u1vjsq99,,,,,0
9,melllt1p,614df85d8603811e25e84d17,0,114,115,dictator,submission_prolific,2022-01-30 20:47:27.090979,1,,,0.0,1,,0.0,5,,,,,3,,54,Female,Some College,6,5,1,u1vjsq99,,,,,0
10,23djgpyb,5df5b73cd52c7b4021e0d0b6,0,114,115,dictator,submission_prolific,2022-01-30 20:47:35.325489,1,,,0.0,1,,0.0,5,,,,,4,No,39,Female,4 Years Degree,7,5,1,u1vjsq99,,,,,0
11,syc2p64f,5ec37264194de71cb7b82637,0,114,115,dictator,submission_prolific,2022-01-30 20:49:51.677477,1,,,0.0,1,,0.0,6,,,,,3,,20,Female,High school graduate,42,4,1,u1vjsq99,,,,,0
12,f7wqi71j,60ceac2e9edfbb89436f4867,0,114,115,dictator,submission_prolific,2022-01-30 20:50:27.972537,1,,,0.0,2,,0.0,5,,,,5,5,Interesting study,20,Female,4 Years Degree,7,5,1,u1vjsq99,,,,,0
13,xizqn3yh,6151d7e5e542dc73b5eaf5db,0,114,115,dictator,submission_prolific,2022-01-30 20:50:46.792181,1,,,0.0,1,,0.0,5,,,,,4,,25,Female,4 Years Degree,8,5,1,u1vjsq99,,,,,0
14,a73utlnu,60ff82acec6d7fc4c4a08769,0,114,115,dictator,submission_prolific,2022-01-30 20:51:09.795998,1,,,0.0,2,,0.0,5,,,,5,5,no,21,Female,High school graduate,6,5,1,u1vjsq99,,,,,0
15,rt8f0vwk,60fe2062f9a27921e0cf4211,0,114,115,dictator,submission_prolific,2022-01-30 20:52:32.270000,1,,,0.0,2,,0.0,5,,,,4,4,,21,Female,High school graduate,8,5,1,u1vjsq99,,,,,0
16,qxuiafjt,60fdbda119f6fbee6e8116a6,0,114,115,dictator,submission_prolific,2022-01-30 20:53:04.037556,1,,,0.0,1,,0.0,5,,,,,3,,21,Female,4 Years Degree,9,5,1,u1vjsq99,,,,,0
17,8ulgl0uw,60fdd47cb6da7411e888e23c,0,114,115,dictator,submission_prolific,2022-01-30 20:53:31.161507,1,,,0.0,2,,0.0,5,,,,1,3,,23,Female,4 Years Degree,9,5,1,u1vjsq99,,,,,0
18,n0y8c438,5d9bdc6ff7bd5b001547ec77,0,114,115,dictator,submission_prolific,2022-01-30 20:54:22.328542,1,,,0.0,1,,0.0,5,,,,,5,NA,25,Female,4 Years Degree,10,5,1,u1vjsq99,,,,,0
19,5esw5c85,60fccf14ec98489192e54358,0,114,115,dictator,submission_prolific,2022-01-30 20:55:52.086403,1,,,0.0,1,,0.0,6,,,,,4,,19,Female,Some College,11,4,1,u1vjsq99,,,,,0
