participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.P1_1,player.P2_1,player.P3_1,player.P4_1,player.benef_2,player.P1_2,player.P2_2,player.P3_2,player.P4_2,player.benef_3,player.P1_3,player.P2_3,player.P3_3,player.P4_3,player.benef_4,player.P1_4,player.P2_4,player.P3_4,player.P4_4,player.benef_5,player.P1_5,player.P2_5,player.P3_5,player.P4_5,player.benef_6,player.P1_6,player.P2_6,player.P3_6,player.P4_6,player.benef_7,player.P1_7,player.P2_7,player.P3_7,player.P4_7,player.benef_8,player.P1_8,player.P2_8,player.P3_8,player.P4_8,player.benef_9,player.P1_9,player.P2_9,player.P3_9,player.P4_9,player.benef_10,player.P1_10,player.P2_10,player.P3_10,player.P4_10,player.benef_11,player.P1_11,player.P2_11,player.P3_11,player.P4_11,player.benef_12,player.P1_12,player.P2_12,player.P3_12,player.P4_12,player.benef_13,player.P1_13,player.P2_13,player.P3_13,player.P4_13,player.benef_14,player.P1_14,player.P2_14,player.P3_14,player.P4_14,player.benef_15,player.P1_15,player.P2_15,player.P3_15,player.P4_15,player.benef_16,player.P1_16,player.P2_16,player.P3_16,player.P4_16,player.benef_17,player.P1_17,player.P2_17,player.P3_17,player.P4_17,player.benef_18,player.P1_18,player.P2_18,player.P3_18,player.P4_18,player.benef_19,player.P1_19,player.P2_19,player.P3_19,player.P4_19,player.benef_20,player.points,player.payoff2,player.first_benef,player.P1_initial,player.P2_initial,player.P3_initial,player.P4_initial,player.first_income,player.number,player.id_group,player.exclusion,player.inclusion,player.own_team,player.other_team,player.fair,player.fair_benef,player.fair_benef_own,player.fair_benef_other,player.rejected,player.happy,player.well_being,player.colour,player.position,player.initial,player.first_role,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,vweryeyw,,0,0,115,,,,0,,,0.0,1,,0.0,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,0,1,4,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,0,1,4,0,0,1,0,3,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,10,,3,0,0,2,0,0,1,2,,,,,,,,,,,,Green,Non-beneficiary,,,1,1,07z21pup,,,,,1
2,u5kntm9z,,0,0,115,,,,0,,,0.0,2,,0.0,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,1,0,0,0,1,0,0,0,1,4,14,,3,0,0,2,0,0,1,3,,,,,,,,,,,,Green,Non-beneficiary,,,1,1,07z21pup,,,,,1
3,gu7recjy,,0,0,115,,,,0,,,0.0,3,,0.0,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,0,1,4,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,0,1,4,0,0,1,0,3,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,10,,3,0,0,2,0,0,2,2,,,,,,,,,,,,Purple,Non-beneficiary,,,1,1,07z21pup,,,,,1
4,ij5omhv1,,0,0,115,,,,0,,,0.0,4,,0.0,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,0,1,4,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,0,1,4,0,0,1,0,3,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,8,,3,0,0,2,0,2,3,2,,,,,,,,,,,,Green,Beneficiary,,,1,1,07z21pup,,,,,1
5,a7fm4e64,,0,0,115,,,,0,,,0.0,5,,0.0,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,0,1,4,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,0,1,4,0,0,1,0,3,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,10,,3,0,0,2,0,0,4,2,,,,,,,,,,,,Purple,Non-beneficiary,,,1,1,07z21pup,,,,,1
6,z6a8nbto,,0,0,115,,,,0,,,0.0,6,,0.0,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,1,0,0,0,1,0,0,0,1,4,6,,3,0,0,2,0,0,2,3,,,,,,,,,,,,Purple,Non-beneficiary,,,1,1,07z21pup,,,,,1
7,zz8egb8x,,0,0,115,,,,0,,,0.0,7,,0.0,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,1,0,0,0,1,0,0,0,1,4,4,,3,0,0,2,0,2,3,3,,,,,,,,,,,,Green,Beneficiary,,,1,1,07z21pup,,,,,1
8,k0utn9jh,,0,106,115,exclusion_control,survey,2022-01-30 20:13:05.120365,1,,,0.0,8,,0.0,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,8,,1,2,0,0,0,2,1,4,,,,,,,,,,,,Green,Beneficiary,,,1,1,07z21pup,,,,,1
1,9lysuc4z,60dbe1ade399352be04a652d,0,114,115,dictator,submission_prolific,2022-01-30 20:40:28.840714,1,,,0.0,1,,0.0,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,0,1,4,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,0,1,4,0,0,1,0,3,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,10,,3,0,0,2,0,0,1,2,2,2,,,5,5,,,5,5,5,Green,Non-beneficiary,,,1,1,u1vjsq99,,,,,0
2,epz9qpw2,61001400237f51c3662bd5b4,0,114,115,dictator,submission_prolific,2022-01-30 20:40:39.892636,1,,,0.0,2,,0.0,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,1,0,0,0,1,0,0,0,1,4,14,,3,0,0,2,0,0,1,3,3,3,,,1,2,,,3,5,5,Green,Non-beneficiary,,,1,1,u1vjsq99,,,,,0
