session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
1a0g40ac,1,h31vt5d7,0,,InitializeParticipant,1643053925,1,0,0
1a0g40ac,1,h31vt5d7,1,start_1,MyPage,1643053935,1,0,0
1a0g40ac,1,h31vt5d7,2,start,GBAT,1643054136,1,0,1
hikvixuh,1,1psi9n3s,0,,InitializeParticipant,1643055935,1,0,0
hikvixuh,1,1psi9n3s,1,start_1,MyPage,1643055945,1,0,0
hikvixuh,2,q3vvrggo,0,,InitializeParticipant,1643056009,1,0,0
hikvixuh,2,q3vvrggo,1,start_1,MyPage,1643056020,1,0,0
hikvixuh,3,00pvomse,0,,InitializeParticipant,1643056049,1,0,0
hikvixuh,4,o6dcea6o,0,,InitializeParticipant,1643056051,1,0,0
hikvixuh,5,x66wzdjc,0,,InitializeParticipant,1643056061,1,0,0
hikvixuh,5,x66wzdjc,1,start_1,MyPage,1643056064,1,0,0
hikvixuh,3,00pvomse,1,start_1,MyPage,1643056086,1,0,0
hikvixuh,1,1psi9n3s,2,start,GBAT,1643056086,1,0,1
hikvixuh,2,q3vvrggo,2,start,GBAT,1643056086,1,0,1
hikvixuh,3,00pvomse,2,start,GBAT,1643056086,1,0,1
hikvixuh,5,x66wzdjc,2,start,GBAT,1643056086,1,0,1
hikvixuh,3,00pvomse,3,start_cont,MyPage,1643056124,1,0,0
hikvixuh,6,k4ijpaz2,0,,InitializeParticipant,1643056126,1,0,0
hikvixuh,6,k4ijpaz2,1,start_1,MyPage,1643056134,1,0,0
hikvixuh,1,1psi9n3s,3,start_cont,MyPage,1643056140,1,0,0
hikvixuh,3,00pvomse,4,start_cont,effort,1643056164,1,0,0
hikvixuh,7,wqiotvd0,0,,InitializeParticipant,1643056167,1,0,0
hikvixuh,1,1psi9n3s,4,start_cont,effort,1643056169,1,0,0
hikvixuh,2,q3vvrggo,3,start_cont,MyPage,1643056175,1,0,0
hikvixuh,7,wqiotvd0,1,start_1,MyPage,1643056178,1,0,0
hikvixuh,3,00pvomse,5,start_cont,comprehension_test,1643056182,1,0,0
hikvixuh,8,qsnw5xbp,0,,InitializeParticipant,1643056188,1,0,0
hikvixuh,8,qsnw5xbp,1,start_1,MyPage,1643056190,1,0,0
hikvixuh,3,00pvomse,6,captcha_quiz_a,Transcribe,1643056196,1,0,0
hikvixuh,3,00pvomse,8,captcha_quiz_a,Transcribe,1643056204,2,0,0
hikvixuh,1,1psi9n3s,5,start_cont,comprehension_test,1643056205,1,0,0
hikvixuh,3,00pvomse,10,captcha_quiz_a,Transcribe,1643056211,3,0,0
hikvixuh,9,4f2j4znn,0,,InitializeParticipant,1643056220,1,0,0
hikvixuh,1,1psi9n3s,6,captcha_quiz_a,Transcribe,1643056220,1,0,0
hikvixuh,9,4f2j4znn,1,start_1,MyPage,1643056222,1,0,0
hikvixuh,6,k4ijpaz2,2,start,GBAT,1643056223,1,0,1
hikvixuh,7,wqiotvd0,2,start,GBAT,1643056223,1,0,1
hikvixuh,8,qsnw5xbp,2,start,GBAT,1643056223,1,0,1
hikvixuh,9,4f2j4znn,2,start,GBAT,1643056223,1,0,1
hikvixuh,3,00pvomse,12,captcha_quiz_a,Transcribe,1643056223,4,0,0
hikvixuh,2,q3vvrggo,4,start_cont,effort,1643056224,1,0,0
hikvixuh,1,1psi9n3s,8,captcha_quiz_a,Transcribe,1643056227,2,0,0
hikvixuh,3,00pvomse,14,captcha_quiz_a,Transcribe,1643056228,5,0,0
hikvixuh,9,4f2j4znn,3,start_cont,MyPage,1643056230,1,0,0
hikvixuh,1,1psi9n3s,10,captcha_quiz_a,Transcribe,1643056232,3,0,0
hikvixuh,7,wqiotvd0,3,start_cont,MyPage,1643056232,1,0,0
hikvixuh,3,00pvomse,16,captcha_quiz_a,Transcribe,1643056234,6,0,0
hikvixuh,1,1psi9n3s,12,captcha_quiz_a,Transcribe,1643056239,4,0,0
hikvixuh,3,00pvomse,18,captcha_quiz_a,Transcribe,1643056240,7,0,0
hikvixuh,1,1psi9n3s,14,captcha_quiz_a,Transcribe,1643056242,5,0,0
hikvixuh,6,k4ijpaz2,3,start_cont,MyPage,1643056244,1,0,0
hikvixuh,1,1psi9n3s,16,captcha_quiz_a,Transcribe,1643056245,6,0,0
hikvixuh,10,a6tv4yc9,0,,InitializeParticipant,1643056246,1,0,0
hikvixuh,3,00pvomse,20,captcha_quiz_a,Transcribe,1643056248,8,0,0
hikvixuh,11,haot0ifr,0,,InitializeParticipant,1643056248,1,0,0
hikvixuh,1,1psi9n3s,18,captcha_quiz_a,Transcribe,1643056249,7,0,0
hikvixuh,1,1psi9n3s,20,captcha_quiz_a,Transcribe,1643056252,8,0,0
hikvixuh,11,haot0ifr,1,start_1,MyPage,1643056255,1,0,0
hikvixuh,1,1psi9n3s,22,captcha_quiz_a,Transcribe,1643056255,9,0,0
hikvixuh,3,00pvomse,22,captcha_quiz_a,Transcribe,1643056257,9,0,0
hikvixuh,1,1psi9n3s,24,captcha_quiz_a,Transcribe,1643056258,10,0,0
hikvixuh,7,wqiotvd0,4,start_cont,effort,1643056259,1,0,0
hikvixuh,6,k4ijpaz2,4,start_cont,effort,1643056260,1,0,0
hikvixuh,1,1psi9n3s,26,captcha_quiz_a,Transcribe,1643056261,11,0,0
hikvixuh,8,qsnw5xbp,3,start_cont,MyPage,1643056262,1,0,0
hikvixuh,3,00pvomse,24,captcha_quiz_a,Transcribe,1643056263,10,0,0
hikvixuh,1,1psi9n3s,28,captcha_quiz_a,Transcribe,1643056264,12,0,0
hikvixuh,10,a6tv4yc9,1,start_1,MyPage,1643056265,1,0,0
hikvixuh,1,1psi9n3s,30,captcha_quiz_a,Transcribe,1643056268,13,0,0
hikvixuh,1,1psi9n3s,32,captcha_quiz_a,Transcribe,1643056271,14,0,0
hikvixuh,3,00pvomse,26,captcha_quiz_a,Transcribe,1643056271,11,0,0
hikvixuh,1,1psi9n3s,34,captcha_quiz_a,Transcribe,1643056275,15,0,0
hikvixuh,1,1psi9n3s,36,captcha_quiz_a,Transcribe,1643056278,16,0,0
hikvixuh,3,00pvomse,28,captcha_quiz_a,Transcribe,1643056278,12,0,0
hikvixuh,1,1psi9n3s,38,captcha_quiz_a,Transcribe,1643056281,17,0,0
hikvixuh,7,wqiotvd0,5,start_cont,comprehension_test,1643056282,1,0,0
hikvixuh,1,1psi9n3s,40,captcha_quiz_a,Transcribe,1643056284,18,0,0
hikvixuh,3,00pvomse,30,captcha_quiz_a,Transcribe,1643056286,13,0,0
hikvixuh,1,1psi9n3s,42,captcha_quiz_a,Transcribe,1643056289,19,0,0
hikvixuh,3,00pvomse,32,captcha_quiz_a,Transcribe,1643056291,14,0,0
hikvixuh,1,1psi9n3s,44,captcha_quiz_a,Transcribe,1643056292,20,0,0
hikvixuh,3,00pvomse,34,captcha_quiz_a,Transcribe,1643056294,15,0,0
hikvixuh,7,wqiotvd0,6,captcha_quiz_a,Transcribe,1643056299,1,0,0
hikvixuh,6,k4ijpaz2,5,start_cont,comprehension_test,1643056299,1,0,0
hikvixuh,8,qsnw5xbp,4,start_cont,effort,1643056300,1,0,0
hikvixuh,1,1psi9n3s,46,captcha_quiz_a,Transcribe,1643056301,21,0,0
hikvixuh,3,00pvomse,36,captcha_quiz_a,Transcribe,1643056301,16,0,0
hikvixuh,2,q3vvrggo,5,start_cont,comprehension_test,1643056301,1,0,0
hikvixuh,1,1psi9n3s,48,captcha_quiz_a,Transcribe,1643056304,22,0,0
hikvixuh,7,wqiotvd0,8,captcha_quiz_a,Transcribe,1643056305,2,0,0
hikvixuh,3,00pvomse,38,captcha_quiz_a,Transcribe,1643056305,17,0,0
hikvixuh,1,1psi9n3s,50,captcha_quiz_a,Transcribe,1643056309,23,0,0
hikvixuh,2,q3vvrggo,6,captcha_quiz_a,Transcribe,1643056309,1,0,0
hikvixuh,7,wqiotvd0,10,captcha_quiz_a,Transcribe,1643056310,3,0,0
hikvixuh,3,00pvomse,40,captcha_quiz_a,Transcribe,1643056311,18,0,0
hikvixuh,1,1psi9n3s,52,captcha_quiz_a,Transcribe,1643056312,24,0,0
hikvixuh,7,wqiotvd0,12,captcha_quiz_a,Transcribe,1643056315,4,0,0
hikvixuh,2,q3vvrggo,8,captcha_quiz_a,Transcribe,1643056316,2,0,0
hikvixuh,1,1psi9n3s,54,captcha_quiz_a,Transcribe,1643056316,25,0,0
hikvixuh,8,qsnw5xbp,5,start_cont,comprehension_test,1643056316,1,0,0
hikvixuh,7,wqiotvd0,14,captcha_quiz_a,Transcribe,1643056319,5,0,0
hikvixuh,6,k4ijpaz2,6,captcha_quiz_a,Transcribe,1643056320,1,0,0
hikvixuh,1,1psi9n3s,56,captcha_quiz_a,Transcribe,1643056320,26,0,0
hikvixuh,3,00pvomse,42,captcha_quiz_a,Transcribe,1643056320,19,0,0
hikvixuh,2,q3vvrggo,10,captcha_quiz_a,Transcribe,1643056322,3,0,0
hikvixuh,7,wqiotvd0,16,captcha_quiz_a,Transcribe,1643056323,6,0,0
hikvixuh,1,1psi9n3s,58,captcha_quiz_a,Transcribe,1643056324,27,0,0
hikvixuh,1,1psi9n3s,60,captcha_quiz_a,Transcribe,1643056326,28,0,0
hikvixuh,3,00pvomse,44,captcha_quiz_a,Transcribe,1643056327,20,0,0
hikvixuh,7,wqiotvd0,18,captcha_quiz_a,Transcribe,1643056327,7,0,0
hikvixuh,2,q3vvrggo,12,captcha_quiz_a,Transcribe,1643056328,4,0,0
hikvixuh,12,garvooob,0,,InitializeParticipant,1643056328,1,0,0
