participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.Instr1,player.Instr2,player.Instr3,player.Instr4,player.comp_clicks,player.position,player.trying,player.colour,player.prolific_id,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,0u66kmuw,,0,0,117,,,,0,,,0.0,1,,0.0,,,,,,,,, ,1,1,u0f9xo9b,,,,,0
2,nfnev56i,,0,0,117,,,,0,,,0.0,2,,0.0,,,,,,,,, ,1,1,u0f9xo9b,,,,,0
3,bkxtfmm1,,0,0,117,,,,0,,,0.0,3,,0.0,,,,,,,,, ,1,1,u0f9xo9b,,,,,0
4,ma0sart0,,0,0,117,,,,0,,,0.0,4,,0.0,,,,,,,,, ,1,1,u0f9xo9b,,,,,0
1,03qmax23,,0,0,117,,,,0,,,0.0,1,,0.0,,,,,,,,, ,1,1,0sar4wsp,,,,,1
2,ltg36dw4,,0,0,117,,,,0,,,0.0,2,,0.0,,,,,,,,, ,1,1,0sar4wsp,,,,,1
3,hi6kvkfi,,0,0,117,,,,0,,,0.0,3,,0.0,,,,,,,,, ,1,1,0sar4wsp,,,,,1
4,r3jazlss,,0,0,117,,,,0,,,0.0,4,,0.0,,,,,,,,, ,1,1,0sar4wsp,,,,,1
5,5gmnplor,,0,0,117,,,,0,,,0.0,1,,0.0,,,,,,,,, ,2,1,0sar4wsp,,,,,1
6,gawal656,,0,0,117,,,,0,,,0.0,2,,0.0,,,,,,,,, ,2,1,0sar4wsp,,,,,1
7,hps8axgz,,0,0,117,,,,0,,,0.0,3,,0.0,,,,,,,,, ,2,1,0sar4wsp,,,,,1
8,v6p8953b,,0,0,117,,,,0,,,0.0,4,,0.0,,,,,,,,, ,2,1,0sar4wsp,,,,,1
9,x0vsf82b,,0,0,117,,,,0,,,0.0,1,,0.0,,,,,,,,, ,3,1,0sar4wsp,,,,,1
10,unqcj9iq,,0,0,117,,,,0,,,0.0,2,,0.0,,,,,,,,, ,3,1,0sar4wsp,,,,,1
11,v4i9p8th,,0,0,117,,,,0,,,0.0,3,,0.0,,,,,,,,, ,3,1,0sar4wsp,,,,,1
12,ix2bpfwm,,0,0,117,,,,0,,,0.0,4,,0.0,,,,,,,,, ,3,1,0sar4wsp,,,,,1
1,b5eh329j,616319197a2844cc7ffbcd76,0,116,117,dictator,survey_end,2022-01-21 19:23:37.035184,1,,,0.0,1,,0.0,2,1,2,1,1,,,,616319197a2844cc7ffbcd76,1,1,s212bl11,,,,,0
2,9cut4edv,5bb3afc465f24700015d5aab,0,116,117,dictator,survey_end,2022-01-21 19:23:46.523354,1,,,0.0,2,,0.0,2,1,2,1,1,,,,5bb3afc465f24700015d5aab,1,1,s212bl11,,,,,0
3,sjelrbgh,5f536bf48647e367a4653085,0,114,117,dictator,Wait_start,2022-01-21 19:24:42.593924,1,,,0.0,3,,0.0,2,1,2,1,1,,,,5f536bf48647e367a4653085,1,1,s212bl11,,,,,0
