number,points,first_benef,P1_initial,P2_initial,P3_initial,P4_initial,first_income,colour,position,id_group,P1_1,P2_1,P3_1,P4_1,benef_2,P1_2,P2_2,P3_2,P4_2,benef_3,P1_3,P2_3,P3_3,P4_3,benef_4,P1_4,P2_4,P3_4,P4_4,benef_5,P1_5,P2_5,P3_5,P4_5,benef_6,P1_6,P2_6,P3_6,P4_6,benef_7,P1_7,P2_7,P3_7,P4_7,benef_8,P1_8,P2_8,P3_8,P4_8,benef_9,P1_9,P2_9,P3_9,P4_9,benef_10,P1_10,P2_10,P3_10,P4_10,benef_11,P1_11,P2_11,P3_11,P4_11,benef_12,P1_12,P2_12,P3_12,P4_12,benef_13,P1_13,P2_13,P3_13,P4_13,benef_14,P1_14,P2_14,P3_14,P4_14,benef_15,P1_15,P2_15,P3_15,P4_15,benef_16,P1_16,P2_16,P3_16,P4_16,benef_17,P1_17,P2_17,P3_17,P4_17,benef_18,P1_18,P2_18,P3_18,P4_18,benef_19,P1_19,P2_19,P3_19,P4_19,benef_20
1,10,3,0,0,2,0,0,Green,Non-beneficiary,2,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,0,1,4,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,0,1,4,0,0,1,0,3,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1
1,14,3,0,0,2,0,0,Green,Non-beneficiary,3,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,1,0,0,0,1,0,0,0,1,4
2,10,3,0,0,2,0,0,Purple,Non-beneficiary,2,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,0,1,4,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,0,1,4,0,0,1,0,3,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1
3,8,3,0,0,2,0,2,Green,Beneficiary,2,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,0,1,4,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,0,1,4,0,0,1,0,3,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1
4,10,3,0,0,2,0,0,Purple,Non-beneficiary,2,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,0,1,4,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,0,1,4,0,0,1,0,3,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1
2,6,3,0,0,2,0,0,Purple,Non-beneficiary,3,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,1,0,0,0,1,0,0,0,1,4
3,4,3,0,0,2,0,2,Green,Beneficiary,3,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,1,0,0,0,1,0,0,0,1,4
1,8,1,2,0,0,0,2,Green,Beneficiary,4,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4
2,10,1,2,0,0,0,0,Purple,Non-beneficiary,4,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4
2,10,1,2,0,0,0,0,Purple,Non-beneficiary,5,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,0,1,4,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1
